Date,entireTweets,
2020-04-21 18:19:52,"Quedate en casa, cuidate mucho del corcho virus, lavate las manos con agua y jabón, no escribas saqueo en ningún momento, reclama salarios dignos para les trabajadores de la salud y acordate......En Argentina a mitad de abril , hay 3000 casos de dengue y 158 de sarampión.",
2020-04-21 18:06:41,"@lauritalonso @jafox958 Debiste decir SAQUEO y te escuchaba, te iban a buscar los comandos, y todo el arco periodista....",
2020-04-21 16:16:04,RT @SilMercado: Me jodes que si publicas la palabra saqueo te procesan? Todos tenemos que escribir saqueo. Saqueo. Saqueo. Saqueo. Saqueo.…,
2020-04-21 12:47:49,@carsua6 Se llevaron maderas de árboles inmensos...oro..plata..piedras preciosa..se llevaron todo lo que pudieron...como dijo el Cacique Guaicaipuro Cuatemoc no fue colonización...fué un saqueo.,
2020-04-21 5:31:44,"@MatiasDScalise 35 ya bro, alto saqueo",
2020-04-21 5:26:28,"Me dieron de baja la mitad de los cursos. A les docentes no nos dieron un peso de aumento. Sabina Frederic, estoy pensando en saqueos! Vengan a buscarme! ¡Basta de reprimir a les laburantes, votamos por un gobiermo popular y no por la continuidad de Bullrrich! @alferdez #saqueo",
2020-04-21 5:13:03,RT @scarlet1854: @MariaLujan_Rey @pferrero75 Se sabía que la chorra iba a liberar a sus amigos de saqueo!,
2020-04-21 4:27:31,@FacundoRivero__ No sacan más el duo en saqueo jaja una bronca,
2020-04-21 2:44:59,@Rosariotres Otro efecto de la cuatentena: los lugares están abandonados y disponibles al saqueo.,
2020-04-21 2:26:56,@charlhythloday Difícil pero LA BASE. Con todo el dolor y respeto a A puro saqueo,
2020-04-21 0:46:38,RT @infomardel: Ciberpatrullaje en Argentina: ¿censura o control?https://t.co/lxJ1ne8pp8 (video)#NiDespidosNiRebajasSalariales #TwitterCe…2020-04-21 0:35:49,"Tener una clase de diseño sólo para escuchar al profesor leer y mostrar un pdf debería ser considerado delito penal,  más aún si es ahora, después de entrarle a la cena como monotributista al saqueo"
2020-04-20 23:15:00,RT @ema_deleonn: Los dos son la misma mierda. Solo que CFK saqueó un país mucho más grande.,
